Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Rare,Dammam,Nissan,Manual,Saudi,Semi Full,2016.0,2.4,125000.0,45000.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2018.0,1.6,47286.0,49000.0
Prado,Riyadh,Toyota,Automatic,Saudi,Full,2014.0,4.0,314000.0,95000.0
Rare,Al-Medina,Toyota,Automatic,Saudi,Standard,2013.0,5.7,114000.0,89000.0
Rare,Jeddah,BMW,Automatic,Saudi,Standard,2019.0,2.0,49528.0,138000.0
Rare,Riyadh,Rare,Manual,Gulf Arabic,Standard,2017.0,2.7,145000.0,39500.0
Rare,Jeddah,Kia,Automatic,Other,Semi Full,2016.0,3.2,118000.0,65000.0
Rare,Dammam,Toyota,Manual,Saudi,Semi Full,2014.0,4.0,70000.0,69000.0
Rare,Aseer,Toyota,Automatic,Saudi,Full,2013.0,3.5,169000.0,75000.0
Rare,Riyadh,Mercedes,Automatic,Gulf Arabic,Standard,2020.0,2.0,12500.0,150000.0
Accent,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2019.0,1.4,65392.0,37000.0
Cerato,Jazan,Kia,Automatic,Saudi,Semi Full,2015.0,1.6,190000.0,33000.0
Accent,Jeddah,Hyundai,Automatic,Saudi,Standard,2019.0,1.4,83000.0,37000.0
6,Al-Ahsa,Mazda,Automatic,Saudi,Standard,2018.0,2.5,188000.0,59000.0
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019.0,4.0,19054.0,162500.0
Rare,Jeddah,Lexus,Automatic,Saudi,Full,2019.0,3.5,129000.0,178000.0
6,Riyadh,Mazda,Automatic,Saudi,Standard,2019.0,2.5,71187.0,76500.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016.0,2.0,200000.0,39000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Full,2015.0,2.0,251000.0,49000.0
Rare,Riyadh,Kia,Automatic,Saudi,Semi Full,2016.0,2.0,163000.0,43000.0
Rare,Makkah,Ford,Automatic,Other,Semi Full,2011.0,4.6,150000.0,38000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2014.0,1.5,75000.0,21000.0
Corolla,Dammam,Toyota,Manual,Saudi,Standard,2015.0,1.6,128333.0,33000.0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2015.0,5.3,166616.0,135000.0
Rare,Riyadh,Chevrolet,Automatic,Gulf Arabic,Semi Full,2016.0,1.8,52000.0,45000.0
Hilux,Jeddah,Toyota,Manual,Gulf Arabic,Semi Full,2017.0,2.7,18000.0,77000.0
C,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2015.0,2.0,54000.0,120000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2016.0,2.5,107590.0,54500.0
Elantra,Aseer,Hyundai,Automatic,Saudi,Semi Full,2018.0,2.0,70000.0,57000.0
Hilux,Al-Medina,Toyota,Manual,Saudi,Semi Full,2014.0,2.7,309000.0,45000.0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019.0,1.4,7000.0,42500.0
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2013.0,4.6,308000.0,120000.0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017.0,3.5,131408.0,69000.0
Rare,Jeddah,Mazda,Automatic,Saudi,Standard,2018.0,1.6,90000.0,41000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Semi Full,2016.0,2.7,109766.0,50500.0
Furniture,Dammam,Toyota,Automatic,Saudi,Semi Full,2019.0,2.7,37000.0,107000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2016.0,3.6,197000.0,62000.0
Rare,Jeddah,Honda,Automatic,Saudi,Semi Full,2018.0,1.6,91000.0,45000.0
Rare,Khobar,Hyundai,Automatic,Saudi,Full,2015.0,3.3,246000.0,60000.0
Caprice,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2008.0,3.5,255000.0,25000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2018.0,1.6,34000.0,85000.0
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2012.0,2.4,15000.0,58000.0
Rare,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2013.0,3.5,154000.0,45000.0
Rare,Al-Ahsa,Rare,Automatic,Gulf Arabic,Semi Full,2016.0,2.0,107000.0,59000.0
Rare,Aseer,GMC,Automatic,Saudi,Semi Full,2017.0,3.6,298000.0,75000.0
Rare,Qassim,Ford,Automatic,Gulf Arabic,Semi Full,2016.0,5.0,115000.0,93000.0
Rare,Dammam,Rare,Automatic,Other,Full,2018.0,3.6,66000.0,122000.0
Rare,Dammam,Mazda,Automatic,Gulf Arabic,Full,2016.0,3.7,193000.0,68000.0
Rare,Dammam,Toyota,Automatic,Saudi,Full,2017.0,4.0,265000.0,110000.0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010.0,2.7,260000.0,65000.0
ES,Riyadh,Lexus,Automatic,Other,Semi Full,2017.0,3.5,96906.0,116000.0
Rare,Dammam,Nissan,Automatic,Saudi,Semi Full,2014.0,5.6,200000.0,105000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2019.0,3.8,35449.0,121500.0
Rare,Jeddah,Toyota,Manual,Saudi,Standard,2013.0,2.7,300000.0,42000.0
Camry,Abha,Toyota,Automatic,Saudi,Standard,2017.0,2.5,120000.0,59000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020.0,2.5,44590.0,89500.0
Yaris,Makkah,Toyota,Automatic,Saudi,Standard,2017.0,1.3,100000.0,27000.0
Prado,Riyadh,Toyota,Automatic,Saudi,Semi Full,2016.0,4.0,201000.0,108000.0
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2012.0,5.3,250385.0,47500.0
Rare,Al-Ahsa,Nissan,Manual,Gulf Arabic,Standard,2013.0,1.7,273778.0,32000.0
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020.0,2.7,76192.0,93500.0
Rare,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2016.0,2.5,81000.0,46000.0
Hilux,Qassim,Toyota,Manual,Saudi,Semi Full,2015.0,2.7,328000.0,65000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Semi Full,2015.0,4.0,134000.0,135000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,3.0,74000.0,80000.0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2016.0,3.5,144000.0,55000.0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016.0,4.6,42000.0,138000.0
Sierra,Riyadh,GMC,Automatic,Other,Semi Full,2011.0,5.3,258000.0,50000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2014.0,3.5,272000.0,45000.0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017.0,1.4,181000.0,29000.0
Rare,Riyadh,Mazda,Automatic,Saudi,Full,2015.0,2.5,314000.0,59000.0
Rare,Dammam,Rare,Manual,Saudi,Standard,2016.0,1.6,329000.0,28000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,2.4,226000.0,41000.0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Full,2011.0,6.0,200000.0,46000.0
Rare,Jeddah,Ford,Automatic,Saudi,Standard,2019.0,1.5,51419.0,27500.0
Rare,Riyadh,Kia,Automatic,Saudi,Standard,2017.0,3.0,175000.0,50000.0
Rare,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2020.0,2.0,22000.0,80000.0
C,Dammam,Mercedes,Automatic,Saudi,Full,2015.0,2.0,125000.0,119000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Standard,2017.0,2.4,209677.0,47500.0
Rare,Riyadh,Mazda,Automatic,Saudi,Full,2020.0,2.5,21367.0,148500.0
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2017.0,3.5,61000.0,63000.0
Taurus,Riyadh,Ford,Automatic,Saudi,Standard,2019.0,2.0,82569.0,80500.0
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2018.0,2.4,65000.0,64000.0
Sonata,Dammam,Hyundai,Automatic,Saudi,Semi Full,2019.0,2.4,92000.0,84000.0
Rare,Riyadh,Ford,Automatic,Saudi,Full,2013.0,3.5,71927.0,64000.0
Taurus,Dammam,Ford,Automatic,Other,Full,2015.0,3.5,122000.0,69000.0
Rare,Riyadh,Nissan,Manual,Other,Full,2014.0,2.0,240000.0,30000.0
Rare,Riyadh,Jeep,Automatic,Saudi,Standard,2016.0,2.4,96213.0,38500.0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019.0,1.5,106007.0,26800.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017.0,1.6,229507.0,35500.0
Rare,Jeddah,Toyota,Automatic,Saudi,Full,2019.0,1.5,40000.0,57000.0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017.0,1.4,32000.0,33000.0
Rare,Dammam,Rare,Manual,Saudi,Standard,2014.0,1.5,95000.0,28000.0
Rare,Aseer,Nissan,Manual,Saudi,Full,2015.0,2.4,28000.0,48000.0
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2016.0,1.0,151000.0,69000.0
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016.0,1.6,50000.0,29000.0
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2019.0,1.5,42628.0,38500.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2018.0,2.4,90000.0,57000.0
Camry,Makkah,Toyota,Automatic,Saudi,Standard,2015.0,2.5,310000.0,30000.0
Rare,Tabouk,Toyota,Manual,Saudi,Semi Full,2015.0,4.0,96000.0,95000.0
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013.0,1.6,334000.0,36500.0
Sonata,Qassim,Hyundai,Automatic,Other,Semi Full,2017.0,1.7,82190.0,63000.0
Rare,Jeddah,Chevrolet,Automatic,Other,Semi Full,2013.0,2.5,220000.0,21000.0
Hilux,Dammam,Toyota,Manual,Saudi,Full,2017.0,2.7,62000.0,87000.0
Rare,Riyadh,BMW,Automatic,Gulf Arabic,Full,2015.0,3.6,142000.0,110000.0
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013.0,6.0,313000.0,35000.0
Rare,Dammam,Lexus,Automatic,Saudi,Full,2016.0,3.5,121000.0,130000.0
Corolla,Jeddah,Toyota,Automatic,Saudi,Standard,2018.0,1.6,121000.0,48000.0
Accord,Qassim,Honda,Automatic,Saudi,Semi Full,2016.0,2.4,15000.0,65000.0
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2016.0,3.8,91000.0,67000.0
Rare,Al-Ahsa,Chevrolet,Automatic,Other,Semi Full,2010.0,5.3,73000.0,37000.0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019.0,1.4,72000.0,40000.0
Innova,Tabouk,Toyota,Automatic,Saudi,Full,2017.0,2.7,139400.0,58000.0
Elantra,Aseer,Hyundai,Automatic,Saudi,Standard,2020.0,1.6,15800.0,58000.0
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018.0,3.6,79000.0,79000.0
Sonata,Al-Ahsa,Hyundai,Automatic,Saudi,Semi Full,2016.0,2.4,258000.0,38000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Standard,2017.0,1.6,105272.0,38500.0
Corolla,Dammam,Toyota,Automatic,Saudi,Standard,2016.0,1.6,238000.0,40500.0
Rare,Jeddah,Rare,Automatic,Saudi,Standard,2016.0,2.5,49000.0,49000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2012.0,3.6,170000.0,45000.0
Rare,Jeddah,Hyundai,Automatic,Saudi,Full,2013.0,2.0,149675.0,25000.0
Rare,Jubail,Kia,Automatic,Saudi,Semi Full,2016.0,1.4,103000.0,27000.0
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2017.0,2.5,70000.0,53000.0
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Semi Full,2015.0,4.0,212000.0,145000.0
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2018.0,3.6,75000.0,64000.0
Hilux,Abha,Toyota,Manual,Saudi,Full,2015.0,2.7,157000.0,60000.0
Rare,Makkah,Ford,Automatic,Other,Standard,2013.0,3.5,218000.0,48000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,1.6,168347.0,30000.0
Yukon,Dammam,GMC,Automatic,Other,Full,2016.0,4.5,158000.0,152000.0
Yukon,Tabouk,GMC,Automatic,Saudi,Standard,2012.0,5.3,235000.0,67000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,1.6,78781.0,47500.0
Hilux,Aseer,Toyota,Manual,Saudi,Full,2019.0,2.7,28000.0,72500.0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2019.0,1.5,72418.0,27500.0
Rare,Riyadh,Ford,Manual,Saudi,Full,2011.0,2.5,168000.0,24000.0
Rare,Jeddah,Hyundai,Manual,Saudi,Full,2016.0,3.0,44000.0,97000.0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017.0,1.6,109000.0,33000.0
C,Jeddah,Mercedes,Automatic,Other,Full,2017.0,2.0,86000.0,105000.0
Sierra,Dammam,GMC,Automatic,Saudi,Full,2017.0,5.3,94000.0,117000.0
Rare,Jeddah,Rare,Automatic,Saudi,Full,2011.0,5.0,196000.0,55000.0
Rare,Makkah,Rare,Automatic,Saudi,Full,2017.0,2.0,127000.0,135000.0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2019.0,2.5,13136.0,99500.0
Rare,Dammam,Lexus,Automatic,Other,Full,2015.0,3.5,132000.0,106000.0
Rare,Riyadh,Hyundai,Automatic,Other,Standard,2017.0,3.8,128000.0,83000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,2.0,159000.0,39000.0
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017.0,5.3,153000.0,125000.0
Hilux,Aseer,Toyota,Manual,Saudi,Full,2020.0,2.4,34000.0,120000.0
Rare,Dammam,Hyundai,Automatic,Gulf Arabic,Semi Full,2015.0,1.6,158000.0,54000.0
Charger,Al-Medina,Dodge,Automatic,Saudi,Full,2013.0,5.7,198000.0,42000.0
Rare,Dammam,Toyota,Manual,Saudi,Standard,2015.0,2.7,178000.0,60000.0
Expedition,Dammam,Ford,Automatic,Saudi,Standard,2013.0,5.4,21700.0,35000.0
Rare,Jazan,Nissan,Manual,Saudi,Full,2015.0,2.4,147000.0,45000.0
Rare,Riyadh,Kia,Automatic,Saudi,Full,2019.0,1.4,48000.0,38000.0
Rare,Riyadh,Chevrolet,Automatic,Saudi,Standard,2017.0,1.4,101000.0,21000.0
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017.0,2.5,135000.0,60000.0
Rare,Dammam,Lexus,Automatic,Saudi,Full,2015.0,4.6,132000.0,165000.0
C,Riyadh,Mercedes,Automatic,Other,Semi Full,2015.0,2.0,187000.0,94000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2020.0,1.4,22550.0,41500.0
Taurus,Riyadh,Ford,Automatic,Other,Full,2016.0,3.5,200000.0,57000.0
Hilux,Riyadh,Toyota,Manual,Saudi,Standard,2018.0,2.7,126000.0,82000.0
Taurus,Qassim,Ford,Automatic,Saudi,Standard,2015.0,2.5,247000.0,55000.0
Camry,Qassim,Toyota,Automatic,Saudi,Standard,2019.0,2.5,48000.0,85000.0
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2018.0,3.6,110519.0,58500.0
Rare,Riyadh,Toyota,Manual,Saudi,Semi Full,2014.0,3.0,175000.0,72000.0
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2008.0,5.4,346000.0,27000.0
Rare,Riyadh,Rare,Automatic,Gulf Arabic,Full,2017.0,2.7,11000.0,43000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,1.6,91959.0,48500.0
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2014.0,5.3,92000.0,90000.0
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2017.0,5.3,137317.0,130000.0
Sonata,Jeddah,Hyundai,Automatic,Saudi,Standard,2019.0,2.4,72000.0,60000.0
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2016.0,2.4,76000.0,53000.0
Yukon,Riyadh,GMC,Automatic,Saudi,Standard,2017.0,5.3,148450.0,128500.0
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2020.0,2.0,132000.0,53000.0
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,1.4,95000.0,28000.0
Rare,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2019.0,4.0,131592.0,116000.0
Sonata,Tabouk,Hyundai,Automatic,Gulf Arabic,Full,2016.0,1.5,73000.0,63000.0
Accord,Dammam,Honda,Automatic,Saudi,Standard,2016.0,2.4,61000.0,69000.0
Rare,Riyadh,Nissan,Manual,Saudi,Full,2016.0,2.0,22000.0,45000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016.0,3.3,126000.0,63000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2018.0,3.8,75000.0,110000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,2.0,237356.0,42000.0
Tahoe,Riyadh,Chevrolet,Automatic,Other,Full,2016.0,5.3,128000.0,164000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2009.0,6.0,50000.0,35000.0
Rare,Khobar,Kia,Automatic,Saudi,Standard,2019.0,1.6,43000.0,68000.0
ES,Riyadh,Lexus,Automatic,Other,Full,2018.0,3.5,66000.0,139000.0
Charger,Rare,Dodge,Automatic,Saudi,Full,2013.0,5.7,144000.0,59000.0
Accord,Dammam,Honda,Automatic,Saudi,Standard,2017.0,2.4,104000.0,79000.0
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2018.0,1.4,130000.0,32000.0
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2019.0,1.6,47000.0,46000.0
Rare,Riyadh,Kia,Automatic,Gulf Arabic,Standard,2017.0,2.4,75000.0,48000.0
Prado,Dammam,Toyota,Automatic,Saudi,Standard,2015.0,2.7,250000.0,78000.0
Expedition,Dammam,Ford,Automatic,Saudi,Full,2016.0,3.6,265000.0,115000.0
Rare,Jubail,Toyota,Manual,Saudi,Standard,2012.0,2.7,126000.0,35000.0
Yukon,Jeddah,GMC,Automatic,Other,Full,2020.0,5.3,63860.0,175000.0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2013.0,5.3,206000.0,90000.0
Rare,Jeddah,Kia,Automatic,Gulf Arabic,Full,2014.0,2.4,215000.0,40000.0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2020.0,1.6,30500.0,62000.0
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2013.0,5.3,194000.0,80000.0
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2015.0,1.3,200000.0,25000.0
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2018.0,1.6,55398.0,49000.0
Sierra,Riyadh,GMC,Automatic,Gulf Arabic,Full,2020.0,5.3,32000.0,158000.0
Rare,Dammam,Hyundai,Automatic,Saudi,Semi Full,2016.0,2.4,76000.0,59000.0
Elantra,Jeddah,Hyundai,Automatic,Saudi,Standard,2017.0,2.0,137000.0,39000.0
Rare,Riyadh,BMW,Automatic,Gulf Arabic,Full,2017.0,2.0,87000.0,175000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2018.0,2.4,84315.0,72500.0
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2017.0,3.8,251000.0,65000.0
Sonata,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2013.0,2.4,344506.0,30000.0
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2013.0,4.0,248500.0,58000.0
Pajero,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2016.0,3.8,205000.0,60000.0
Camry,Makkah,Toyota,Automatic,Saudi,Standard,2014.0,2.5,166400.0,35500.0
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2017.0,3.5,131000.0,67000.0
Rare,Riyadh,Ford,Automatic,Saudi,Full,2017.0,1.4,93000.0,26000.0
Yukon,Dammam,GMC,Automatic,Saudi,Full,2014.0,5.3,327000.0,77000.0
Rare,Rare,Rare,Manual,Saudi,Semi Full,2020.0,2.4,13800.0,35000.0
Rare,Riyadh,Rare,Automatic,Saudi,Full,2019.0,3.0,52000.0,130000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,2.4,127974.0,61500.0
Rare,Qassim,Kia,Automatic,Other,Semi Full,2016.0,1.7,90000.0,59000.0
Rare,Jeddah,Jeep,Automatic,Saudi,Full,2014.0,2.4,217000.0,25000.0
Rare,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2016.0,3.0,45000.0,168000.0
Rare,Riyadh,Nissan,Automatic,Gulf Arabic,Full,2010.0,3.0,280000.0,22000.0
Rare,Jeddah,Mazda,Automatic,Saudi,Standard,2018.0,1.6,105000.0,38000.0
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2013.0,4.6,240000.0,105000.0
Rare,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017.0,3.0,101000.0,65000.0
Accent,Jeddah,Hyundai,Automatic,Saudi,Semi Full,2017.0,1.4,174000.0,24000.0
Pajero,Jeddah,Mitsubishi,Automatic,Saudi,Full,2015.0,3.8,54000.0,70000.0
Rare,Dammam,Ford,Manual,Other,Standard,2015.0,5.0,119000.0,85000.0
Sierra,Riyadh,GMC,Automatic,Saudi,Full,2015.0,5.3,86500.0,98000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020.0,2.0,30271.0,70000.0
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019.0,3.6,178000.0,67000.0
Rare,Jeddah,Toyota,Automatic,Saudi,Semi Full,2017.0,2.4,190000.0,60000.0
Rare,Riyadh,Jeep,Automatic,Other,Semi Full,2019.0,2.4,55000.0,75000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2015.0,3.6,290000.0,30000.0
Rare,Dammam,Rare,Automatic,Saudi,Full,2014.0,3.8,89000.0,65000.0
Taurus,Rare,Ford,Automatic,Saudi,Semi Full,2012.0,6.0,166000.0,30000.0
Rare,Riyadh,Ford,Automatic,Saudi,Standard,2014.0,3.6,209500.0,56000.0
Rare,Riyadh,Rare,Manual,Saudi,Standard,2018.0,2.5,203957.0,68500.0
Pajero,Aseer,Mitsubishi,Automatic,Gulf Arabic,Full,2016.0,3.8,132000.0,63000.0
Pajero,Dammam,Mitsubishi,Automatic,Saudi,Full,2016.0,3.5,126000.0,64000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017.0,1.6,156000.0,40000.0
Hilux,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2014.0,2.7,21000.0,75000.0
Rare,Rare,Kia,Automatic,Saudi,Semi Full,2015.0,2.4,220000.0,42000.0
Rare,Riyadh,Kia,Automatic,Saudi,Standard,2015.0,2.4,147000.0,38000.0
Yukon,Dammam,GMC,Automatic,Other,Full,2016.0,5.3,213000.0,146000.0
Camry,Riyadh,Toyota,Automatic,Saudi,Full,2013.0,2.5,185000.0,42000.0
Furniture,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015.0,4.0,205000.0,61000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Standard,2015.0,5.7,190000.0,99000.0
Rare,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2017.0,2.4,139000.0,62000.0
Rare,Dammam,Nissan,Automatic,Saudi,Full,2019.0,2.4,87000.0,55000.0
Yaris,Jeddah,Toyota,Automatic,Saudi,Standard,2018.0,1.5,131000.0,35000.0
Rare,Jeddah,Toyota,Automatic,Saudi,Standard,2018.0,2.5,72000.0,95000.0
Expedition,Riyadh,Ford,Automatic,Saudi,Semi Full,2013.0,5.5,169000.0,44000.0
Rare,Jeddah,Ford,Automatic,Saudi,Standard,2017.0,3.5,89000.0,68000.0
Tahoe,Dammam,Chevrolet,Automatic,Other,Full,2018.0,5.3,127000.0,155000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2015.0,2.4,173000.0,43000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Standard,2017.0,2.5,40000.0,59000.0
Innova,Al-Medina,Toyota,Automatic,Saudi,Standard,2015.0,2.7,122000.0,43000.0
Yukon,Dammam,GMC,Automatic,Saudi,Standard,2012.0,5.3,177000.0,75000.0
Rare,Khobar,Chevrolet,Automatic,Gulf Arabic,Semi Full,2017.0,3.6,115000.0,63000.0
Hilux,Riyadh,Toyota,Manual,Saudi,Full,2018.0,2.7,111000.0,63000.0
Rare,Jeddah,Mercedes,Automatic,Saudi,Full,2015.0,3.5,125000.0,100000.0
Charger,Jeddah,Dodge,Automatic,Other,Full,2014.0,3.6,300000.0,35000.0
Rare,Riyadh,Mercedes,Automatic,Saudi,Full,2016.0,2.0,94000.0,110000.0
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2019.0,1.6,61374.0,46500.0
Furniture,Makkah,Toyota,Manual,Gulf Arabic,Semi Full,2010.0,2.7,200000.0,36000.0
Elantra,Dammam,Hyundai,Automatic,Saudi,Standard,2019.0,1.6,73000.0,48500.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017.0,2.4,194814.0,55000.0
Cerato,Dammam,Kia,Automatic,Saudi,Standard,2014.0,1.6,160000.0,24000.0
Cerato,Dammam,Kia,Automatic,Saudi,Semi Full,2014.0,1.6,175000.0,25000.0
Rare,Al-Ahsa,Rare,Automatic,Saudi,Semi Full,2017.0,3.5,75000.0,125000.0
Charger,Dammam,Dodge,Automatic,Saudi,Full,2019.0,3.6,48000.0,85000.0
Rare,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014.0,2.0,68000.0,35000.0
Rare,Jeddah,Rare,Automatic,Saudi,Full,2019.0,1.2,24000.0,36000.0
Rare,Riyadh,Rare,Automatic,Saudi,Semi Full,2018.0,3.8,127000.0,93000.0
Prado,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016.0,3.8,168000.0,109500.0
Land Cruiser,Dammam,Toyota,Automatic,Gulf Arabic,Full,2014.0,4.6,220000.0,135000.0
Rare,Riyadh,Hyundai,Manual,Saudi,Standard,2016.0,3.9,132852.0,85000.0
Rare,Dammam,Toyota,Manual,Saudi,Standard,2016.0,2.7,350000.0,60000.0
Rare,Dammam,Chevrolet,Automatic,Other,Full,2018.0,3.6,89000.0,109000.0
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2011.0,5.3,206000.0,37000.0
Elantra,Al-Medina,Hyundai,Automatic,Other,Semi Full,2015.0,2.0,276000.0,30000.0
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018.0,1.5,79968.0,29000.0
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Full,2016.0,2.7,220000.0,68000.0
Rare,Riyadh,Hyundai,Automatic,Saudi,Standard,2018.0,3.0,147000.0,75000.0
Sonata,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2015.0,2.4,235575.0,47500.0
Rare,Qassim,Toyota,Manual,Gulf Arabic,Standard,2017.0,4.0,25471.0,122000.0
Rare,Dammam,Toyota,Manual,Saudi,Standard,2014.0,3.0,195000.0,75000.0
Rare,Jeddah,Nissan,Automatic,Saudi,Semi Full,2013.0,2.5,134000.0,35000.0
